,0
communityName,object
state,object
countyCode,float64
communityCode,float64
population,int64
householdsize,float64
racepctblack,float64
racePctWhite,float64
racePctAsian,float64
racePctHisp,float64
agePct12t21,float64
agePct12t29,float64
agePct16t24,float64
agePct65up,float64
numbUrban,int64
pctUrban,float64
medIncome,int64
pctWWage,float64
pctWFarmSelf,float64
pctWInvInc,float64
pctWSocSec,float64
pctWPubAsst,float64
pctWRetire,float64
medFamInc,int64
perCapInc,int64
whitePerCap,int64
blackPerCap,int64
indianPerCap,int64
AsianPerCap,int64
OtherPerCap,float64
HispPerCap,int64
NumUnderPov,int64
PctPopUnderPov,float64
PctLess9thGrade,float64
PctNotHSGrad,float64
PctBSorMore,float64
PctUnemployed,float64
PctEmploy,float64
PctEmplManu,float64
PctEmplProfServ,float64
PctOccupManu,float64
PctOccupMgmtProf,float64
MalePctDivorce,float64
MalePctNevMarr,float64
FemalePctDiv,float64
TotalPctDiv,float64
PersPerFam,float64
PctFam2Par,float64
PctKids2Par,float64
PctYoungKids2Par,float64
PctTeen2Par,float64
PctWorkMomYoungKids,float64
PctWorkMom,float64
NumKidsBornNeverMar,int64
PctKidsBornNeverMar,float64
NumImmig,int64
PctImmigRecent,float64
PctImmigRec5,float64
PctImmigRec8,float64
PctImmigRec10,float64
PctRecentImmig,float64
PctRecImmig5,float64
PctRecImmig8,float64
PctRecImmig10,float64
PctSpeakEnglOnly,float64
PctNotSpeakEnglWell,float64
PctLargHouseFam,float64
PctLargHouseOccup,float64
PersPerOccupHous,float64
PersPerOwnOccHous,float64
PersPerRentOccHous,float64
PctPersOwnOccup,float64
PctPersDenseHous,float64
PctHousLess3BR,float64
MedNumBR,int64
HousVacant,int64
PctHousOccup,float64
PctHousOwnOcc,float64
PctVacantBoarded,float64
PctVacMore6Mos,float64
MedYrHousBuilt,int64
PctHousNoPhone,float64
PctWOFullPlumb,float64
OwnOccLowQuart,int64
OwnOccMedVal,int64
OwnOccHiQuart,int64
OwnOccQrange,int64
RentLowQ,int64
RentMedian,int64
RentHighQ,int64
RentQrange,int64
MedRent,int64
MedRentPctHousInc,float64
MedOwnCostPctInc,float64
MedOwnCostPctIncNoMtg,float64
NumInShelters,int64
NumStreet,int64
PctForeignBorn,float64
PctBornSameState,float64
PctSameHouse85,float64
PctSameCity85,float64
PctSameState85,float64
LemasSwornFT,float64
LemasSwFTPerPop,float64
LemasSwFTFieldOps,float64
LemasSwFTFieldPerPop,float64
LemasTotalReq,float64
LemasTotReqPerPop,float64
PolicReqPerOffic,float64
PolicPerPop,float64
RacialMatchCommPol,float64
PctPolicWhite,float64
PctPolicBlack,float64
PctPolicHisp,float64
PctPolicAsian,float64
PctPolicMinor,float64
OfficAssgnDrugUnits,float64
NumKindsDrugsSeiz,float64
PolicAveOTWorked,float64
LandArea,float64
PopDens,float64
PctUsePubTrans,float64
PolicCars,float64
PolicOperBudg,float64
LemasPctPolicOnPatr,float64
LemasGangUnitDeploy,float64
LemasPctOfficDrugUn,float64
PolicBudgPerPop,float64
murders,int64
murdPerPop,float64
rapes,float64
rapesPerPop,float64
robberies,float64
robbbPerPop,float64
assaults,float64
assaultPerPop,float64
burglaries,float64
burglPerPop,float64
larcenies,float64
larcPerPop,float64
autoTheft,float64
autoTheftPerPop,float64
arsons,float64
arsonsPerPop,float64
ViolentCrimesPerPop,float64
nonViolPerPop,float64
